Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-01-03,15947.4404296875,16069.3798828125,15943.16015625,16020.73046875,56865800,0,0
2022-01-04,16069.7998046875,16202.580078125,16036.51953125,16152.6103515625,75187400,0,0
2022-01-05,16177.4404296875,16285.349609375,16161.7197265625,16271.75,68244500,0,0
2022-01-06,16076.16015625,16156.5595703125,15988.6298828125,16052.0302734375,75756700,0,0
2022-01-07,15999.01953125,16044.2802734375,15862.7099609375,15947.740234375,74469300,0,0
2022-01-10,16006.4404296875,16015.33984375,15724.23046875,15768.26953125,82834300,0,0
2022-01-11,15918.8203125,15979.990234375,15880.3896484375,15941.8095703125,74622100,0,0
2022-01-12,16054.9296875,16061.5,15955.5400390625,16010.3203125,69357000,0,0
2022-01-13,15959.830078125,16090.2900390625,15941.7802734375,16031.58984375,72976100,0,0
2022-01-14,15929.3701171875,15970.7001953125,15833.73046875,15883.240234375,80457700,0,0
2022-01-17,15948.900390625,15962.7001953125,15894.76953125,15933.7197265625,46576400,0,0
2022-01-18,15948.900390625,15843.580078125,15811.5400390625,15811.91015625,0,0,0
